"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Hunter Renfroe","Padres","56","238","218","54","11","1","14","30","37","15","63","2","2","1","",".248",".300",".495",".795",".328","","103","-0.2","-0.2","","0.8","-2.2","0.6","15464"
"Jason Heyward","Cubs","55","226","199","53","10","2","6","26","27","23","36","2","2","1","",".268",".345",".426",".771",".328","","101","0.6","2.2","","0.8","1.0","0.9","4940"
"Josh Reddick","Astros","36","149","135","37","6","1","5","19","19","13","21","0","2","1","",".272",".334",".442",".775",".327","","108","0.3","-0.2","","1.7","-1.9","0.5","3892"
"Evan Gattis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".308",".481",".789",".327","","-100","0.0","0.0","","0.0","0.0","","11003"
"Paul DeJong","Cardinals","60","263","237","61","13","1","11","33","35","19","59","4","3","1","",".257",".321",".458",".780",".327","","102","0.3","1.6","","1.1","4.3","1.4","18015"
"Robbie Grossman","Athletics","24","100","85","22","5","0","2","12","10","13","18","1","1","1","",".258",".358",".394",".752",".327","","106","-0.1","-0.5","","0.7","-1.4","0.3","5254"
"Hunter Pence","Rangers","41","172","157","42","8","1","7","21","23","12","38","1","2","1","",".269",".324",".452",".777",".327","","96","0.2","-0.3","","-0.6","-3.2","0.2","8252"
"Ji-Man Choi","Rays","32","138","119","30","6","0","5","17","17","16","33","1","1","1","",".248",".339",".425",".764",".327","","106","-0.1","-0.3","","1.0","-2.7","0.3","5452"
"Jose Fernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".278",".328",".447",".775",".326","","-100","0.0","0.0","","0.0","0.0","","19254"
"Matt Adams","Nationals","24","96","88","22","4","0","5","12","15","7","25","1","0","0","",".251",".307",".481",".787",".326","","98","-0.1","0.3","","-0.4","-0.7","0.2","9393"
